concurrency,rps,avg_latency_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,requests,success,errors,initial_stock,final_stock,redis_calls,network_io_reduction
10,8957,20.24,0,0,0,0,0,98421,0,0,1000000,1000000,0,0
25,13044,1.82,0,0,0,0,0,131740,0,0,1000000,1000000,0,0
50,11986,21.32,0,0,0,0,0,131632,0,0,1000000,1000000,0,0
100,12731,7.72,0,0,0,0,0,128182,0,0,1000000,1000000,0,0
150,12726,11.56,0,0,0,0,0,128245,0,0,1000000,1000000,0,0
